iter	Passed	Remaining
0	1	1367
1	2	1014
2	2	893
3	3	843
4	4	804
5	4	783
6	5	757
7	5	737
8	6	720
9	7	712
10	7	701
11	8	693
12	9	684
13	9	677
14	10	678
15	11	677
16	11	675
17	12	669
18	12	665
19	13	664
20	14	660
21	14	658
22	15	655
23	16	652
24	16	649
25	17	646
26	17	644
27	18	636
28	18	633
29	19	631
30	20	631
31	20	630
32	21	628
33	22	629
34	22	628
35	23	626
36	23	616
37	24	615
38	24	613
39	25	612
40	26	611
41	26	609
42	27	608
43	27	607
44	28	606
45	29	607
46	30	620
47	31	620
48	31	620
49	32	620
50	33	620
51	34	621
52	34	620
53	35	620
54	36	619
55	36	617
56	37	617
57	37	616
58	38	616
59	39	614
60	39	613
61	40	613
62	41	612
63	41	611
64	42	610
65	43	609
66	43	608
67	44	607
68	44	606
69	45	605
70	46	604
71	46	603
72	47	603
73	48	602
74	48	601
75	49	601
76	50	601
77	50	600
78	51	599
79	52	598
80	52	598
81	53	597
82	54	596
83	54	595
84	55	595
85	55	594
86	56	595
87	57	595
88	58	595
89	59	597
90	59	597
91	60	596
92	61	595
93	61	594
94	62	593
95	62	593
96	63	591
97	64	590
98	64	590
99	65	589
100	66	588
101	66	587
102	67	587
103	68	586
104	68	585
105	69	584
106	69	583
107	70	583
108	71	582
109	71	581
110	72	581
111	73	580
112	73	579
113	74	580
114	75	580
115	76	580
116	77	583
117	77	582
118	78	581
119	79	580
120	79	580
121	80	579
122	81	578
123	81	577
124	82	576
125	83	576
126	83	575
127	84	574
128	85	574
129	85	574
130	86	574
131	87	573
132	87	572
133	88	571
134	89	571
135	89	570
136	90	569
137	91	569
138	91	568
139	92	568
140	93	569
141	94	568
142	94	568
143	95	567
144	96	566
145	96	565
146	97	565
147	98	564
148	98	564
149	99	563
150	100	562
151	100	561
152	101	561
153	102	560
154	102	559
155	103	558
156	103	557
157	104	557
158	105	557
159	105	556
160	106	555
161	107	555
162	108	554
163	109	556
164	109	555
165	110	555
166	111	554
167	111	553
168	112	552
169	113	551
170	113	551
171	114	550
172	115	549
173	115	549
174	116	548
175	117	548
176	117	547
177	118	546
178	118	545
179	119	544
180	120	543
181	120	543
182	121	542
183	122	541
184	122	541
185	123	541
186	124	542
187	125	541
188	126	541
189	126	541
190	127	540
191	128	539
192	128	539
193	129	538
194	130	537
195	130	536
196	131	536
197	132	535
198	132	535
199	133	534
200	134	533
201	134	533
202	135	532
203	136	531
204	136	531
205	137	530
206	138	529
207	138	529
208	139	528
209	140	528
210	141	528
211	141	527
212	142	526
213	143	525
214	143	525
215	144	524
216	145	523
217	145	522
218	146	522
219	147	521
220	147	520
221	148	520
222	149	520
223	149	519
224	150	518
225	151	518
226	151	517
227	152	516
228	153	516
229	153	515
230	154	514
231	155	514
232	156	513
233	156	513
234	157	512
235	158	511
236	158	511
237	159	510
238	159	509
239	160	508
240	161	507
241	162	507
242	162	506
243	163	506
244	164	505
245	164	504
246	165	504
247	166	503
248	166	502
249	167	502
250	168	501
251	168	500
252	169	500
253	169	499
254	170	499
255	171	498
256	172	498
257	172	497
258	173	496
